date;plot;CO2;N2O;CH4
05-08-2016;1;54,55536255;0,063509941;-0,001949281
05-08-2016;2;51,25344004;0,075848036;-0,00223997
06-08-2016;1;57,97497966;1,160256175;0,000329587
06-08-2016;2;44,69867493;0,442374391;-0,001313236
07-08-2016;1;50,13869834;1,007290345;-0,000287469
07-08-2016;2;57,02794886;0,525841913;-0,001458914
08-08-2016;1;28,57893736;0,912842431;0,003187798
08-08-2016;2;18,42446611;0,254391456;-0,001350504
10-08-2016;1;31,48016873;0,704600325;-0,001128114
10-08-2016;2;21,9510503;0,158959072;-0,001407858
11-08-2016;1;20,22124161;0,499796783;7,45603E-06
11-08-2016;2;31,74049411;0,281808954;-0,002046394
12-08-2016;1;26,07892496;0,480300267;-0,000981339
12-08-2016;2;37,55138221;0,301732415;-0,001790593
15-08-2016;1;17,87502481;0,633386305;-0,000116451
15-08-2016;2;39,69473009;0,729082213;-0,001870924
18-08-2016;1;12,1060333;0,363883232;0,000814999
18-08-2016;2;21,00159337;0,878050245;-0,001453878
19-08-2016;1;14,24682304;0,50730216;0,001227778
19-08-2016;2;22,3081659;0,517691794;-0,001320766
22-08-2016;1;25,79473263;0,748057919;-6,52553E-05
22-08-2016;2;30,65445992;0,391735673;-0,001715952
26-08-2016;1;27,67521404;0,524361982;0,000367625
26-08-2016;2;27,79213804;0,290647421;-0,000655332
29-08-2016;1;17,89143092;0,156100119;-0,000518304
29-08-2016;2;22,9162169;0,167984386;-0,003369378
05-09-2016;1;17,258053;0,303690979;-0,00157792
05-09-2016;2;22,0696622;0,177215583;-0,001962219
12-09-2016;1;21,93707011;0,061532288;-0,002014071
12-09-2016;2;30,50359293;0,068565644;-0,002752683
17-09-2016;1;18,09422937;0,037840938;-0,001358856
17-09-2016;2;20,31651212;0,029769871;-0,002175992
22-09-2016;1;11,9662003;0,011998663;-0,001819942
22-09-2016;2;14,88865168;0,010345813;-0,002599432
29-09-2016;1;8,707670687;0,00403723;0,001907886
29-09-2016;2;11,25785541;0,004355348;0,001082746
06-10-2016;1;6,501765829;0,003514075;-0,001043644
06-10-2016;2;8,535226985;0,002746741;0,002466191
13-10-2016;1;6,43771582;0,000551273;-0,001578054
13-10-2016;2;6,288353365;0,000910004;-0,002104904
20-10-2016;1;1,239551485;0,000458518;-0,001094348
20-10-2016;2;2,81465154;0,000321537;-0,004566385
27-10-2016;1;6,891114446;4,26218E-05;-0,001392227
27-10-2016;2;4,440827161;0,001142276;-0,000637896
05-11-2016;1;2,863813654;0,011994447;-0,001158549
05-11-2016;2;3,339351507;0,003131364;-0,00086251
10-11-2016;1;1,923699113;0,009685613;-0,000650366
10-11-2016;2;2,291799425;0,008617504;-0,001214072
17-11-2016;1;2,862966445;0,000462057;0,000507004
17-11-2016;2;2,134520462;0,008228137;0,000326429
24-11-2016;1;2,999243836;0,017098626;-0,000858069
24-11-2016;2;2,9402247;0,021775865;-0,000802359
29-11-2016;1;2,776674578;0,054464576;-0,001438416
29-11-2016;2;3,808266701;0,034365327;-0,001499063
23-12-2016;1;2,818059389;0,199770303;-0,000118165
23-12-2016;2;2,178927873;0,092879071;-0,000155322
09-01-2017;1;-0,686722303;-0,00023766;-0,001139514
09-01-2017;2;1,983423051;0,024910253;-0,000835813
19-01-2017;1;2,19232903;0,107699404;0,000120026
19-01-2017;2;3,010655249;0,138317343;-0,000978456
27-01-2017;1;2,167766124;0,028549093;-0,000222082
27-01-2017;2;1,781027173;0,052679179;-0,000725407
03-02-2017;1;0,563990946;0,006184115;-0,000136907
03-02-2017;2;0,569809499;0,003612512;4,8261E-05
10-02-2017;1;0,596976978;0,022193009;0,001200972
10-02-2017;2;-0,556394529;0,000178091;0,004317386
17-02-2017;1;2,016325986;0,004911496;-0,000354655
17-02-2017;2;1,03496543;0,007721247;3,65497E-06
03-03-2017;1;1,8770094;0,019512867;-0,000865063
03-03-2017;2;1,527190647;0,012123728;0,000592012
10-03-2017;1;1,451364394;0,011592951;0,000215014
10-03-2017;2;0,409171417;0,018034678;-0,000185588
17-03-2017;1;1,353368038;0,022405111;-2,22735E-05
17-03-2017;2;0,722296691;0,011828234;0,000190691
24-03-2017;1;3,919135114;0,148190129;0,000399756
24-03-2017;2;4,808033695;0,192389065;-0,000532976
31-03-2017;1;4,732400562;0,248063373;-0,001174644
31-03-2017;2;4,92853998;0,186709548;-0,00217203
07-04-2017;1;9,397670206;0,103461223;-0,001423489
07-04-2017;2;5,696040376;0,044408234;-0,001096635
14-04-2017;1;6,685481865;0,032024391;-0,001285487
14-04-2017;2;6,127617446;0,038330365;-0,001657394
21-04-2017;1;5,049261864;0,00906803;-0,001267323
21-04-2017;2;8,758834941;0,016033601;-0,001936408
28-04-2017;1;13,20088609;0,027168202;-0,000927604
28-04-2017;2;6,021893205;0,011510878;-0,001553739
06-05-2017;1;13,93031293;0,0049074;-0,000325529
06-05-2017;2;6,436498743;0,003760416;-0,002008008
12-05-2017;1;5,222098428;0,00116205;-0,001075164
12-05-2017;2;4,897878531;0,002837959;-0,002303074
19-05-2017;1;7,292720766;0,000579835;-0,001087019
19-05-2017;2;5,407403611;0,001475289;-0,000621212
26-05-2017;1;35,29729606;0,001908829;-0,001894226
26-05-2017;2;37,06431643;0,003240467;-0,002669693
02-06-2017;1;8,878296303;-0,000417123;-0,001138298
02-06-2017;2;11,57067787;0,000656704;-0,00192733
09-06-2017;1;43,37502723;0,015820327;-0,00213791
09-06-2017;2;40,33437304;0,007626251;-0,001839136
21-06-2017;1;46,43101435;0,002075294;-0,001710749
21-06-2017;2;62,22674124;0,005000199;-0,003239649
27-06-2017;1;72,13114574;0,006398352;-0,002289071
27-06-2017;2;75,04937896;0,008715942;-0,002711993
07-07-2017;1;85,74869662;0,00882651;-0,001890322
07-07-2017;2;102,8630053;0,009535478;-0,002626763
12-07-2017;1;92,89509551;0,00582628;0,000899125
12-07-2017;2;88,15507169;0,008938097;-0,002262654
02-08-2017;1;87,8088701;0,003656434;-0,003193287
02-08-2017;2;70,13428959;-7,5474E-05;-0,001460238
09-08-2017;1;78,78154268;0,018529584;-0,001279481
09-08-2017;2;94,21034471;0,018472142;-0,000623113
14-08-2017;1;70,11071948;0,0215876;-0,000233423
14-08-2017;2;68,17321644;0,013416871;-0,001567258
