date;STN---;WBAN ; YEARMODA;   TEMP;  ;   DEWP;  ;  SLP  ;  ;  STP  ;  ; VISIB;  ;  WDSP;  ; MXSPD;  GUST;   MAX  ;  MIN  ;PRCP  ;SNDP ; FRSHTT
5-08-2016;261340;99999;20160805;   64.4;24;   60.5;22; 1012.9;24; 1006.5;24;  11.6;24;   4.0;23;   7.2;  14.4;   74.1 ;  56.7 ; 0.11G;999.9;110000
6-08-2016;261340;99999;20160806;   62.9;24;   59.4;24; 1013.9;24; 1007.5;24;  15.4;24;   3.3;24;   7.0;  12.2;   70.7 ;  57.4 ; 0.24G;999.9;110000
7-08-2016;261340;99999;20160807;   61.7;24;   57.6;21; 1013.3;24; 1006.9;24;  15.5;24;   2.5;24;   5.4;  12.0;   70.2 ;  54.1 ; 0.18G;999.9;110000
8-08-2016;261340;99999;20160808;   63.9;24;   57.5;23; 1009.5;24; 1003.1;24;  21.1;24;   7.7;24;  14.2;  26.4;   71.6 ;  53.2 ; 0.09G;999.9;0
10-08-2016;261340;99999;20160810;   58.2;24;   51.6;24; 1012.9;24; 1006.4;24;  22.5;24;   5.9;24;  11.7;  18.5;   64.8 ;  52.3 ; 0.21G;999.9;10000
11-08-2016;261340;99999;20160811;   55.4;24;   49.8;24; 1011.6;24; 1005.1;24;  23.8;24;   5.9;24;  11.1;  20.4;   64.4 ;  46.2 ; 0.12G;999.9;10000
12-08-2016;261340;99999;20160812;   53.8;24;   44.8;24; 1016.6;24; 1010.0;24;  26.9;24;   4.5;24;   8.4;  13.6;   65.1 ;  38.7 ; 0.09G;999.9;0
15-08-2016;261340;99999;20160815;   53.2;24;   49.5;23; 1011.1;24; 1004.6;24;  19.8;24;   2.8;23;   5.8;  16.1;   63.0 ;  42.8 ; 0.77G;999.9;110000
18-08-2016;261340;99999;20160818;   59.5;24;   57.0;22; 1012.1;24; 1005.7;24;  24.0;24;   6.0;24;   9.9;  17.9;   66.2 ;  55.9 ; 0.05G;999.9;10000
19-08-2016;261340;99999;20160819;   62.0;24;   56.2;23; 1015.1;24; 1008.7;24;  18.0;24;   5.7;24;  10.9;  18.5;   73.8 ;  52.5 ; 0.20G;999.9;110000
22-08-2016;261340;99999;20160822;   64.4;24;   60.6;24; 1019.2;24; 1012.8;24;  19.0;24;   4.2;23;   7.4;  13.0;   76.3 ;  58.1 ;99.99 ;999.9;10000
26-08-2016;261340;99999;20160826;   66.7;24;   59.7;24; 1017.5;24; 1011.1;24;  19.1;24;   5.7;24;   8.7;  15.7;   77.0 ;  60.6 ;99.99 ;999.9;10000
29-08-2016;261340;99999;20160829;   59.1;24;   58.0;24; 1006.8;24; 1000.4;24;  14.0;24;   5.3;24;   8.7;  14.0;   65.7 ;  54.7 ; 0.44G;999.9;10000
5-09-2016;261340;99999;20160905;   55.0;24;   52.6;19; 1013.3;24; 1006.8;24;  15.0;24;   3.2;23;   9.1;  13.2;   65.5 ;  44.6*; 0.00G;999.9;100000
12-09-2016;261340;99999;20160912;   60.1;24;   52.6;20; 1019.0;24; 1012.5;24;  17.1;24;   3.7;24;   5.8;  12.2;   70.7 ;  46.4 ; 0.00I;999.9;0
17-09-2016;261340;99999;20160917;   51.4;24;   47.3;23; 1022.8;24; 1016.2;24;  26.9;24;   2.6;23;   5.8; 999.9;   57.6 ;  47.5 ; 0.00I;999.9;0
22-09-2016;261340;99999;20160922;   49.2;24;   45.9;22; 1020.4;24; 1013.8;24;  16.8;24;   4.4;24;   9.3;  15.2;   58.1 ;  36.1 ; 0.01G;999.9;10000
29-09-2016;261340;99999;20160929;   56.6;23;   54.9;22; 1000.7;23;  994.3;23;  10.1;23;   8.2;23;  14.6;  27.2;   60.6 ;  49.5 ; 0.17G;999.9;110000
6-10-2016;261340;99999;20161006;   45.8;24;   39.0;24; 1031.5;24; 1024.8;24;  29.6;24;   9.8;24;  17.1;  26.2;   52.2 ;  41.9 ; 0.00G;999.9;0
