date;plot;pHKCl;KA;NO3_N;NH4_N;P;K;Ca;Mg;OM;N;C;S;KA;DN;DIC;DC;DOC
05-08-2016;2;4,74;70,38;51,25;3,112;40,76;115,5;2318,7;326,2;11,69;0,666336;6,821173191;0,092745289;68,88888889;110;<20;380;380
05-08-2016;2;4,75;67,26;50,823;2,959;39,45;101;2590,4;332,1;12,38;0,644357026;6,620227337;0,109075487;68,96186441;110;<20;360;360
05-08-2016;2;4,76;67,44;51,258;3,166;40,05;99,3;2263;322,9;12,05;0,681242406;7,003656864;0,126183927;69,06779661;110;<20;370;370
05-08-2016;1;4,74;69,2;51,384;4,573;58,03;132,7;2170,1;322,5;10,97;0,602513969;6,233418465;0,077135615;69,37119675;120;<20;390;390
05-08-2016;1;4,77;69,24;51,287;4,282;64,6;153;2329,3;349,9;10,74;0,603652477;6,003314018;;70,27300303;120;<20;380;380
05-08-2016;1;4,76;68,69;50,311;4,207;61,93;156,6;2285,2;345,1;11,02;0,603815973;6,034415722;;70,1010101;120;<20;390;390
08-08-2016;2;4,78;66,23;63,098;8,803;50,78;116,3;2343,4;343,6;11,62;0,644706786;6,589766502;0,070200719;67,84037559;150;<20;390;390
08-08-2016;2;4,77;64,98;62,124;7,033;52,05;106,1;2366,2;347;11,59;0,632863343;6,039611816;;67,40968486;140;<20;370;370
08-08-2016;2;4,76;66,08;61,866;6,439;50,54;101;2374,5;344;10,56;0,624926448;5,839121819;;67,48654881;140;<20;370;370
08-08-2016;1;4,89;65,54;61,081;5,18;62,2;151,8;2271,5;375,3;11,41;0,630062699;6,755165577;0,07191626;66,273353;140;<20;390;390
08-08-2016;1;4,91;65,77;61,358;6,333;60,95;156,2;2278,8;370,7;11,09;0,615596175;5,821191788;;66,47000983;140;<20;390;390
08-08-2016;1;4,91;65,46;62,387;6,485;53,79;158,7;2278,7;375,8;11,19;0,607985318;6,074125767;;67,29368932;140;<20;390;390
10-08-2016;2;4,78;68,96;67,254;6,301;44,36;106,3;2290,1;346,1;11,69;0,644801021;6,56112957;0,06680391;72,11538462;130;<20;310;310
10-08-2016;2;4,85;69,82;60,844;6,116;44,6;119,7;2311,2;358;11,32;0,649150491;6,431559563;;71,24563446;140;<20;330;330
10-08-2016;2;4,82;69,69;66,413;6,257;44,02;102,6;2222,8;345,4;11,25;0,650951207;6,528871059;;71,13951012;140;<20;330;330
10-08-2016;1;4,87;67,19;69,275;7,658;51,48;150,1;2322,6;379;11,28;0,651022851;6,648732185;0,070707619;69,96450754;110;<20;210;210
10-08-2016;1;4,84;67,78;61,668;8,387;54,16;130,9;2459,2;370,9;10,77;0,61228019;5,899487972;;70,24221453;110;<20;200;200
10-08-2016;1;4,84;68,34;62,677;7,023;42,84;104,8;2481,2;377,7;11,52;0,656305552;6,12166214;;70,49083383;110;<20;190;190
11-08-2016;2;4,86;68,81;62,837;6,925;43,24;106;2362,4;350,7;11,2;0,629903197;6,417360306;0,070694976;70,19311503;130;<20;340;340
11-08-2016;2;4,9;67,2;66,953;8,029;38,02;97,3;2429,7;358,4;11,67;0,61995399;5,487471581;;69,10435497;150;<20;360;360
11-08-2016;2;4,84;67,38;64,78;7,235;37,7;99,3;2425,8;369,4;11,28;0,617795467;5,899103165;;69,82352941;150;<20;330;330
11-08-2016;1;4,85;66,23;59,489;7,338;44,07;113,5;2409,7;375,5;11,26;0,6492998;6,951738358;0,07405702;68,92247043;120;<20;350;350
11-08-2016;1;4,87;67,31;63,513;7,636;49,44;122,6;2331,5;382,4;11,19;0,616230965;5,89748621;;68,98071625;140;<20;370;370
11-08-2016;1;4,88;66,14;65,244;;51,02;128,5;2326,8;377,7;11,21;0,625326395;5,949010372;;68,87508627;140;<20;330;330
22-08-2016;2;4,88;66,68;38,495;4,289;35,96;91;2262,1;320,7;11,23;0,666223049;6,787251472;0,076071672;67,01030928;90,00299312;<20;190;190
22-08-2016;2;4,89;66,06;42,265;3,906;46,16;94,8;2239,5;322,5;11,06;0,638195097;5,903684616;;67,6366843;89,73904921;<20;200;200
22-08-2016;2;4,88;67,24;37,113;3,688;47,78;110;2197,8;339,9;11,09;0,642730176;6,012887001;;67,91044776;76,06623396;<20;180;180
22-08-2016;1;4,93;64,48;39,292;3,792;58,31;136,7;2271,5;379,1;12,15;0,649677753;6,709663868;0,073896118;64,67361492;91,04224181;<20;190;190
22-08-2016;1;4,95;63,97;36,93;3,298;48,68;116;2279,7;375,3;12,17;0,636702478;6,088315964;;64,99003984;90,6865086;<20;190;190
22-08-2016;1;4,92;65,04;38,147;2,96;48,63;110,2;2189;352,1;11,7;0,617287874;5,826978207;;64,72303207;89,28272053;<20;210;210
05-09-2016;2;4,88;66,99;43,923;4,478;54,25;171,8;2590,7;352,41;11,32;0,59796679;4,613611698;;68,59504132;78,3014872;<20;210;210
05-09-2016;2;4,84;66,25;45,731;1,721;55,19;143,7;2403,3;333,14;11,83;0,634952307;5,140788555;;67,28110599;76,07054255;<20;270;270
